Dam,Capacity,20_vol,Curr_vol,Curr_vol_pct,Use_vol,Use_vol_pct,Yr_avg,In_vol,In_vol_cum,In_vol_yrpct,Out_vol_today,Out_vol_cum,Report_date
เขื่อนบางพระ,117,37,65,56,53.33,46,52,0.89,42.45,81.65,0.22,73.70,2021-09-27
เขื่อนหนองปลาไหล,164,153,165,101,151.21,92,215,1.05,205.93,95.63,0,30.13,2021-09-27
เขื่อนคลองสียัด,420,85,182,43,152.30,36,283,3.84,161.89,57.30,0.01,124.78,2021-09-27
เขื่อนขุนด่านปราการชล,224,198,197,88,192.61,86,308,3.97,228.86,74.31,0.02,220.22,2021-09-27
เขื่อนประแสร์,295,161,275,93,254.59,86,271,6.22,140.68,51.84,0.14,63.64,2021-09-27
เขื่อนนฤบดินทรจินดา,295,162,248,84,228.90,78,323,7.98,312.09,96.59,2.51,260.48,2021-09-27
รวมภาคตะวันออก,"1,515",795,"1,133",75,"1,032.94",68,"1,452",23.95,"1,091.90",75.18,2.90,772.95,2021-09-27
เขื่อนแก่งกระจาน,710,269,553,78,488.47,69,898,9.24,671.15,74.78,8.64,598.09,2021-09-27
เขื่อนปราณบุรี,391,143,267,68,249.27,64,456,6.81,227.12,49.85,0.19,279.48,2021-09-27
เขื่อนรัชชประภา,"5,639","3,059","3,864",69,"2,511.98",45,"2,645",31.74,"1,887.66",71.36,11.34,"1,665.10",2021-09-27
เขื่อนบางลาง,"1,454","1,000",693,48,416.69,29,"1,589",3.73,"1,498.23",94.30,2.92,"2,138.08",2021-09-27
รวมภาคใต้,"8,194","4,471","5,377",66,"3,666.41",45,"5,587",51.52,"4,284.16",76.68,23.09,"4,680.75",2021-09-27
